ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;Mittelfristige Technische Trend;4 Wochen (Relative) Performance;Vergleichsindex;KGV;Langfristiges Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Buchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn;Current Ratio;Langfristiges Fremdkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Erwartete Dividende
ES0167050915;ACS;ACS ACTIVIDADES;Anlagenbau;Baugewerbe & Werkstoffe;Spanien;14.05.2024;EUR;39.44;positive;11.07;42.51;-0.0179;niedrig;positiv;stark unterbewertet;positiv;0.0076;STOXX600;12.6;0.0868;0.1464;0.0369;0.1441;0.5092;3;positiv;35738;780;0.0218;1.2;0.2218;0.9661;0.0372;0.0542
SE0014781795;ADDTB;ADDTECH AB;Industriemaschinen;Industrie;Schweden ;14.05.2024;SEK;238.6;eher positive;5.98;263.33;0.0777;niedrig;positiv;leicht überbewertet;positiv;0.0094;STOXX600;26.2;0.159;0.2683;0.1142;0.3649;0.1129;2;positiv;18714;1495;0.0799;1.48;0.2369;1.2255;NULL;0.0127
CH0012138605;ADEN;ADECCO GROUP;Personalberater;Industrie;Schweiz ;14.05.2024;CHF;35.44;positive;6.49;37.74;-0.1413;niedrig;negativ;leicht unterbewertet;positiv;0.0789;STOXX600;9;0.1174;0.0945;0.0279;0.2892;0.4834;3;positiv;23275;316;0.0136;1.06;0.2112;2.014;0.0243;0.0707
DE000A1EWWW0;ADS;ADIDAS;Schuhe & Sport;Privat- & Haushaltswaren;Deutschland;14.05.2024;EUR;227.1;neutral;41.29;207.95;0.2332;mittel;positiv;leicht unterbewertet;positiv;0.1238;STOXX600;19.4;0.4969;-0.0164;0.0159;0.2542;0.1393;4;neutral;21427;-75;-0.0035;1.22;0.248;1.1891;0.0477;0.0082
GB00B02J6398;ADM;ADMIRAL GROUP;Sachversicherungen;Versicherungen;Grossbritannien ;14.05.2024;GBp;2696;neutral;10.37;2490.87;0.0045;mittel;positiv;stark unterbewertet;positiv;-0.0041;STOXX600;13.3;0.1533;0.3408;0.1254;0.168;0.1206;4;positiv;3910;338;0.0864;-2.06;0.2028;0.6622;0.1015;0.0557
NL0012969182;ADYEN;ADYEN;Spezialfinanz;Finanzdienstleistungen;Holland;14.05.2024;EUR;1261;eher negative;42.17;1027.29;0.0809;hoch;negativ;fairer Preis;negativ;-0.1455;STOXX600;26.6;0.2698;0.221;0.4887;0.3302;0.0873;1;positiv;1863;698;0.3747;1.45;0.018;0.1947;NULL;0
BE0003851681;AED;AEDIFICA;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Belgien;14.05.2024;EUR;61.45;eher positive;3.21;67.66;-0.0346;mittel;negativ;stark unterbewertet;positiv;0.0215;STOXX600;12.5;0.0639;0.0069;0.7527;0.5789;1.1815;3;positiv;321;25;0.0779;NULL;0.3171;0.052;NULL;0.0638
BMG0112X1056;AGN;AEGON;Lebensversicherungen;Versicherungen;Holland;14.05.2024;EUR;6.18;positive;11.49;6.58;0.1768;niedrig;positiv;leicht unterbewertet;positiv;0.0763;STOXX600;5.9;1.2358;0.031;-0.0049;0.0265;0.8256;4;positiv;22883;234;0.0102;0.1;0.0236;0.0803;0.0031;0.0597
ES0105046017;AENA;AENA SME;Transportwesen;Industrie;Spanien;14.05.2024;EUR;18.08;positive;28.81;19.26;0.1018;niedrig;negativ;stark unterbewertet;positiv;0.0577;STOXX600;12.9;0.1001;0.2138;0.4419;0.4345;0.3099;3;positiv;5040;1631;0.3236;1.28;0.3742;0.2871;0.4865;0.0539
FR0010340141;ADP;AEROPORTS DE PARIS;Transportwesen;Industrie;Frankreich;14.05.2024;EUR;128.3;positive;13.42;138.52;0.0947;mittel;positiv;fairer Preis;positiv;0.042;STOXX600;17.9;0.1349;0.1446;0.2042;0.2219;0.3773;4;positiv;5495;631;0.1148;0.97;0.4334;0.2795;0.2626;0.0282
BE0974264930;AGS;AGEAS SA;Lebensversicherungen;Versicherungen;Belgien;14.05.2024;EUR;45.52;positive;9.07;48.48;0.158;niedrig;positiv;leicht unterbewertet;positiv;0.0391;STOXX600;6.1;0.0605;0.1284;0.1179;0.0773;1.028;4;positiv;11245;953;0.0847;2;0.0694;0.1171;0.1152;0.0787
IE00BF0L3536;ALBK;AIB GROUP PLC.;Banken;Geldinstitute;Irland;14.05.2024;EUR;4.99;positive;12.94;5.63;0.2851;mittel;positiv;stark unterbewertet;positiv;0.0071;STOXX600;6.4;0.0283;0.143;0.5295;0.1024;1.3739;3;positiv;5685;1996;0.3511;0.39;0.0792;0.0417;0.4028;0.0637
NL0000235190;AIR;AIRBUS;Luftfahrt & Verteidigung;Industrie;Frankreich;14.05.2024;EUR;158.7;positive;134.98;176.64;0.1354;niedrig;positiv;stark unterbewertet;negativ;-0.0411;STOXX600;15.5;0.1918;0.2141;0.0797;0.1489;0.1608;2;positiv;65446;3789;0.0579;1.18;0.0858;0.5506;0.0922;0.0167
NO0010345853;AKRBP;AKER BP;Erschliessung & Produktion;Energie;Norwegen;14.05.2024;NOK;274.1;eher positive;16.08;300.49;-0.0724;niedrig;positiv;leicht unterbewertet;negativ;-0.105;STOXX600;9.6;0.0678;0.1125;0.7197;0.3166;0.673;2;positiv;143547;14119;0.0984;0.95;0.1627;0.362;0.2878;0.0965
NL0013267909;AKZA;AKZO NOBEL;Spezialitäten-Chemie;Chemie;Holland;14.05.2024;EUR;65.74;neutral;11.85;69.19;-0.1214;mittel;positiv;stark unterbewertet;positiv;-0.0049;STOXX600;12;0.1515;0.1023;0.0965;0.2969;0.3386;3;neutral;10668;442;0.0414;1.06;0.2174;0.7328;0.0749;0.0307
CH0432492467;ALC;ALCON AG;Medizinische Geräte;Gesundheitswesen;Schweiz ;14.05.2024;CHF;79.94;eher positive;40.92;83.94;0.2179;niedrig;positiv;leicht überbewertet;positiv;0.0484;STOXX600;21.9;0.1784;0.0504;0.123;0.6964;0.5362;3;positiv;8497;875;0.103;2.28;0.1664;0.3409;0.2322;0.0035
SE0000695876;ALFA;ALFA LAVAL;Industriemaschinen;Industrie;Schweden ;14.05.2024;SEK;485;positive;18.4;516.52;0.2023;niedrig;positiv;fairer Preis;positiv;0.1436;STOXX600;20.1;0.166;0.1709;0.152;0.45;0.2221;4;positiv;63598;6330;0.0995;1.28;0.1373;0.7729;0.1392;0.0176
DK0061802139;ALKB;ALK-ABELLO A/S;Pharmaka;Gesundheitswesen;Dänemark;14.05.2024;DKK;154.5;positive;4.94;164.54;0.5267;niedrig;positiv;leicht unterbewertet;positiv;0.2075;STOXX600;21.3;0.2674;0.1093;0.1389;0.6025;0.2187;4;positiv;4824;486;0.1007;2.26;0.0595;0.6536;0.1513;0
LU2237380790;ALE;ALLEGRO;Warenhäuser & Versand;Einzel- & Grosshandel;Polen;14.05.2024;PLN;38.06;neutral;10.16;34.54;0.1421;hoch;positiv;leicht unterbewertet;positiv;0.1976;STOXX600;17.9;0.6716;0.0314;0.1614;0.4797;0.2573;4;positiv;10185;284;0.0279;1.77;0.3469;0.5403;0.1235;0
GB00BNTJ3546;ALLFG;ALLFUNDS GROUP;Internet;Technologie;Grossbritannien ;14.05.2024;EUR;5.76;neutral;3.88;5.33;-0.1027;mittel;positiv;leicht unterbewertet;negativ;-0.1646;STOXX600;10.8;0.3278;0.0365;0.3187;0.422;0.5992;2;neutral;548;86;0.1569;NULL;0.0688;0.0984;0.4264;0.0241
DE0008404005;ALV;ALLIANZ;Universalversicherungen;Versicherungen;Deutschland;14.05.2024;EUR;265.4;positive;112.04;282.65;0.0969;niedrig;positiv;stark unterbewertet;positiv;0.0331;STOXX600;9.2;0.0883;0.159;0.1123;0.056;0.5671;4;positiv;124636;8541;0.0685;0.9;0.0183;0.13;0.0868;0.0567
CH0008837566;ALLN;ALLREAL HOLDING;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweiz ;14.05.2024;CHF;150.8;eher positive;2.74;159.65;0.0027;niedrig;negativ;fairer Preis;positiv;-0.0079;STOXX600;20;0.1052;0.0256;0.4247;0.4446;1.025;3;positiv;428;65;0.1519;NULL;0.3651;0.0748;0.1574;0.0467
FR0010220475;ALO;ALSTOM;Industriemaschinen;Industrie;Frankreich;14.05.2024;EUR;17.22;neutral;7.47;15.33;0.4992;hoch;positiv;leicht unterbewertet;positiv;0.2382;STOXX600;7.5;0.1989;-0.0142;0.0117;0.2866;0.9429;4;positiv;16507;-128;-0.0078;0.82;0.1006;0.5258;0.0459;0.0127
FR0000071946;ATE;ALTEN;Informatik Dienstleister;Technologie;Frankreich;14.05.2024;EUR;124.6;neutral;4.64;137.48;-0.0743;mittel;negativ;leicht unterbewertet;negativ;-0.0674;STOXX600;12.5;0.1113;0.1145;0.0889;0.5971;0.4367;1;neutral;4069;233;0.0573;1.68;0.0581;1.1926;0.0811;0.0138
ES0109067019;AMS;AMADEUS IT GROUP;Software;Technologie;Spanien;14.05.2024;EUR;64.32;positive;30.68;68.5;-0.0086;niedrig;positiv;leicht unterbewertet;positiv;0.0939;STOXX600;17.9;0.1523;0.2493;0.273;0.4152;0.1568;4;neutral;5441;1117;0.2053;0.96;0.2538;0.504;NULL;0.0226
DK0060946788;AMBUB;AMBU A/S;Medizinische Geräte;Gesundheitswesen;Dänemark;14.05.2024;DKK;121.2;neutral;4.69;108.04;0.1521;mittel;positiv;fairer Preis;positiv;0.0545;STOXX600;34.9;0.4456;0.0312;0.0582;0.7863;0.3148;4;positiv;4775;168;0.0352;2.13;0.0746;0.6962;0.1035;0.0017
IT0004056880;AMP;AMPLIFON;Medizinische Geräte;Gesundheitswesen;Italien;14.05.2024;EUR;33.98;neutral;8.14;36.2;0.0842;mittel;negativ;fairer Preis;positiv;0.0493;STOXX600;26.2;0.2013;0.1409;0.1183;0.2981;0.1556;3;positiv;2260;155;0.0686;0.52;0.2963;0.612;0.1868;0.0105
FR0004125920;AMUN;AMUNDI;Vermögensverwalter;Finanzdienstleistungen;Frankreich;14.05.2024;EUR;71.8;eher positive;15.73;75.39;0.1656;mittel;positiv;stark unterbewertet;positiv;0.0947;STOXX600;9.5;0.0818;0.1025;0.2613;0.3157;0.9074;4;positiv;5790;1165;0.2012;NULL;0.5181;0.1608;0.2159;0.0586
AT0000730007;ANDR;ANDRITZ;Industriemaschinen;Industrie;Oesterreich;14.05.2024;EUR;54.4;eher positive;5.79;61.44;-0.0355;niedrig;negativ;stark unterbewertet;negativ;-0.0781;STOXX600;9;0.0759;0.2343;0.0879;0.2414;0.3892;1;positiv;8660;510;0.0589;1.18;0.0737;0.96;0.0839;0.0495
GB00BTK05J60;AAL;ANGLO AMERICAN;Minen;Rohstoffe;Grossbritannien ;14.05.2024;GBp;2574.79;neutral;45.46;2321.37;0.3293;hoch;positiv;leicht unterbewertet;positiv;0.1574;STOXX600;11.2;0.0956;0.0116;0.2209;0.3765;0.8227;4;positiv;24662;228;0.0092;1.85;0.228;0.4725;0.0968;0.0276
BE0974293251;ABI;ANHEUSER-BUSCH INBEV;Brauereien;Nahrungsmittel & Getränke;Belgien;14.05.2024;EUR;60.42;positive;132.25;64.35;0.0342;niedrig;positiv;leicht unterbewertet;positiv;0.073;STOXX600;14.8;0.1384;0.0667;0.2446;0.3703;0.7453;4;positiv;54925;4940;0.0899;0.63;0.3356;0.2745;0.1807;0.0173
GB0000456144;ANTO;ANTOFAGASTA;Minen;Rohstoffe;Grossbritannien ;14.05.2024;GBp;2280;neutral;27.95;1970.77;0.3575;mittel;positiv;leicht überbewertet;positiv;-0.0176;STOXX600;23.4;0.2117;0.0957;0.2882;0.4556;0.4241;2;positiv;5088;672;0.1321;2.37;0.1617;0.3301;0.3236;0.0133
DK0010244508;MAERSKB;AP MOELLER MAERSK;Seefracht;Industrie;Dänemark;14.05.2024;DKK;11435;eher negative;26.4;8462.4;-0.0211;hoch;negativ;stark überbewertet;positiv;0.1995;STOXX600;43.3;-7.0637;0.0722;0.0922;0.6546;4.8572;2;positiv;351883;26341;0.0749;2.5;0.145;0.6318;0.197;0.0013
NL0006237562;ARCAD;ARCADIS;Anlagenbau;Baugewerbe & Werkstoffe;Holland;14.05.2024;EUR;60.45;positive;5.81;64.38;0.2377;niedrig;negativ;stark unterbewertet;positiv;-0.0023;STOXX600;14.4;0.1637;0.1504;0.0661;0.2671;0.242;3;positiv;5003;160;0.032;1.2;0.2717;1.2566;0.0667;0.0184
LU1598757687;MT;ARCELORMITTAL;Stahl;Rohstoffe;Frankreich;14.05.2024;EUR;24.12;neutral;21.24;22.24;-0.0606;mittel;positiv;leicht unterbewertet;negativ;-0.0947;STOXX600;4.7;0.4247;0.0174;0.0474;0.5746;2.3223;2;positiv;63152;850;0.0135;1.53;0.0891;0.7428;0.0526;0.0196
NL0010832176;ARGX;ARGENX;Biotechnologie;Gesundheitswesen;Belgien;14.05.2024;EUR;330.8;eher negative;21.96;293.9;-0.037;hoch;negativ;leicht unterbewertet;negativ;-0.0941;STOXX600;37.4;1.0942;-0.0736;-0.2784;0.902;0.1824;1;positiv;1134;-273;-0.2407;9.75;0.0034;0.2758;-0.1498;0
FR0010313833;AKE;ARKEMA;Grundchemikalien;Chemie;Frankreich;14.05.2024;EUR;98.8;neutral;8;106.35;-0.0408;mittel;positiv;stark unterbewertet;positiv;-0.0186;STOXX600;8.7;0.096;0.0643;0.0745;0.448;0.8439;3;neutral;9514;418;0.0439;2.34;0.3054;0.6554;0.1165;0.0381
GB0000536739;AHT;ASHTEAD GROUP;Dienstleister für Unternehmen;Industrie;Grossbritannien ;14.05.2024;GBp;5962;eher positive;32.46;6565.13;0.0915;mittel;positiv;fairer Preis;positiv;-0.0039;STOXX600;16.3;0.1322;0.282;0.261;0.3208;0.2387;4;positiv;8057;1348;0.1673;1.01;0.4675;0.5407;0.3628;0.0142
NL0000334118;ASM;ASM INTERNATIONAL;Halbleiter;Technologie;Holland;14.05.2024;EUR;621;eher negative;32.68;489.39;0.3214;hoch;positiv;leicht überbewertet;positiv;0.0298;STOXX600;27.8;0.2549;0.2331;0.2451;0.7634;0.1396;3;neutral;2634;752;0.2855;2.45;0.0054;0.6233;0.3542;0.0056
NL0010273215;ASML;ASML HOLDING;Halbleiter;Technologie;Holland;14.05.2024;EUR;840.7;neutral;362.3;922.25;0.2332;mittel;negativ;fairer Preis;negativ;-0.1042;STOXX600;24.1;0.2511;0.5827;0.3351;0.3367;0.0502;1;neutral;27559;7839;0.2844;1.5;0.1159;0.6897;0.3113;0.0083
NL0011872643;ASRNL;ASR NEDERLAND;Universalversicherungen;Versicherungen;Holland;14.05.2024;EUR;47.52;positive;10.99;52.52;0.1129;niedrig;negativ;stark unterbewertet;positiv;0.0207;STOXX600;9.9;0.0525;0.1245;0.3264;0.0555;0.9251;3;positiv;12675;1038;0.0819;0.13;0.0925;0.0843;NULL;0.067
SE0007100581;ASSAB;ASSA ABLOY AB;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Schweden ;14.05.2024;SEK;313.9;positive;32.23;335.75;0.0813;niedrig;positiv;fairer Preis;positiv;0.0032;STOXX600;17.4;0.1351;0.1488;0.1785;0.464;0.2997;4;positiv;140651;13632;0.0969;1.1;0.273;0.7122;0.1337;0.0188
IT0000062072;G;ASSICURAZIONI GENERALI;Universalversicherungen;Versicherungen;Italien;14.05.2024;EUR;24.68;positive;41.32;26.28;0.2918;niedrig;positiv;stark unterbewertet;positiv;0.0519;STOXX600;8.7;0.077;0.1293;0.0894;0.0576;0.9627;4;positiv;69120;3746;0.0542;0.04;0.072;0.1375;NULL;0.0568
GB0006731235;ABF;ASSOCIATED BRIT.FOODS;Nahrungsmittel;Nahrungsmittel & Getränke;Grossbritannien ;14.05.2024;GBp;2719;positive;25.19;2895.73;0.1487;niedrig;positiv;leicht unterbewertet;positiv;0.0976;STOXX600;12;0.1121;0.0941;0.0813;0.5887;0.6984;4;positiv;19763;1044;0.0528;1.83;0.1708;1.0488;0.0977;0.0251
GB0009895292;AZN;ASTRAZENECA;Pharmaka;Gesundheitswesen;Grossbritannien ;14.05.2024;GBp;12246;positive;239.77;13041.99;0.1553;mittel;positiv;leicht unterbewertet;positiv;0.0743;STOXX600;14.9;0.1367;0.156;0.2199;0.3871;0.1869;4;positiv;36854;4791;0.13;0.82;0.2297;0.4646;0.2377;0.0204
SE0017486889;ATCOA;ATLAS COPCO AB;Industriemaschinen;Industrie;Schweden ;14.05.2024;SEK;199.45;eher positive;85.65;209.42;0.1492;niedrig;positiv;leicht überbewertet;positiv;0.0665;STOXX600;26.4;0.1694;0.3066;0.2148;0.5006;0.1592;3;positiv;172664;28040;0.1624;1.59;0.164;0.9452;0.2073;0.0155
DE0006766504;NDA;AURUBIS;Nichteisen-Metalle;Rohstoffe;Deutschland;14.05.2024;EUR;76.45;neutral;3.47;70.19;0.0295;mittel;positiv;stark unterbewertet;positiv;-0.0111;STOXX600;8.3;0.0976;0.0332;0.0077;0.5746;1.386;3;positiv;17064;141;0.0083;2.38;0.0277;2.3102;0.0201;0.0183
GB00BVYVFW23;AUTO;AUTO TRADER GROUP PLC.;Internet;Technologie;Grossbritannien ;14.05.2024;GBp;755.8;eher positive;8.41;800.76;0.0477;niedrig;positiv;fairer Preis;positiv;0.067;STOXX600;20.4;0.1647;0.4436;0.5886;0.7957;0.0932;4;neutral;500;234;0.468;1.62;0.0937;0.7548;0.4958;0.0136
DE000A2LQ884;AG1;AUTO1 GROUP;Warenhäuser & Versand;Einzel- & Grosshandel;Deutschland;14.05.2024;EUR;7.57;neutral;1.72;6.65;0.166;hoch;positiv;leicht unterbewertet;positiv;0.5771;STOXX600;36.6;1.2405;-0.2017;-0.0161;0.3375;0.4131;4;positiv;5463;-116;-0.0212;3.92;0.4589;3.1939;-0.0135;0
SE0012454072;AZA;AVANZA BANK;Wertpapierdienstleistungen;Finanzdienstleistungen;Schweden ;14.05.2024;SEK;262.3;neutral;3.66;224.74;0.1233;mittel;positiv;leicht überbewertet;positiv;0.0957;STOXX600;18.4;0.105;0.3398;0.4861;0.0206;0.1588;3;positiv;4715;1982;0.4204;NULL;0.0003;0.0167;0.4397;0.0366
GB00BPQY8M80;AV.;AVIVA;Lebensversicherungen;Versicherungen;Grossbritannien ;14.05.2024;GBp;488.5;positive;16.5;520.25;0.1238;niedrig;negativ;leicht unterbewertet;positiv;0.029;STOXX600;8.6;0.1014;0.1196;0.0657;0.0278;0.7435;3;positiv;34097;1051;0.0308;0.28;0.0226;0.1078;0.0363;0.0754
CH0023405456;AVOL;AVOLTA;Spezialisierter Detailhandel;Einzel- & Grosshandel;Schweiz ;14.05.2024;CHF;38.76;neutral;6.42;40.48;0.1717;hoch;positiv;fairer Preis;positiv;0.0557;STOXX600;11.9;0.0835;0.037;0.0665;0.1429;0.4745;4;positiv;12790;87;0.0068;0.6;0.5614;0.7744;0.135;0.0216
FR0000120628;CS;AXA;Universalversicherungen;Versicherungen;Frankreich;14.05.2024;EUR;33.42;positive;81.42;35.59;0.1333;niedrig;positiv;leicht unterbewertet;positiv;0.021;STOXX600;8.1;0.0809;0.1587;0.1155;0.0713;0.6723;4;positiv;86647;7004;0.0808;0.27;0.1001;0.1399;0.0743;0.0658
SE0006993770;AXFO;AXFOOD;Nahrungsmittel;Einzel- & Grosshandel;Schweden ;14.05.2024;SEK;293;eher positive;5.86;321.89;0.0733;niedrig;negativ;fairer Preis;negativ;-0.0473;STOXX600;20.3;0.1493;0.3427;0.0429;0.2291;0.1167;1;positiv;81111;2357;0.0291;0.65;0.2498;2.7021;0.066;0.0302
FR0013258662;AYV;AYVENS;Transportwesen;Industrie;Frankreich;14.05.2024;EUR;7.33;neutral;6.52;6.64;0.1381;hoch;positiv;leicht unterbewertet;positiv;0.169;STOXX600;5.2;0.1111;0.0719;0.1258;0.1616;2.1594;4;positiv;18884;816;0.0432;0.22;0.5355;0.2688;NULL;0.0675
BE0974400328;AZE;AZELIS GROUP NV;Spezialitäten-Chemie;Chemie;Belgien;14.05.2024;EUR;21.64;neutral;5.87;19.55;-0.0243;mittel;positiv;fairer Preis;positiv;0.0129;STOXX600;17.3;0.123;0.0686;0.0903;0.4648;0.479;4;neutral;4152;178;0.0429;1.7;0.2963;0.7452;0.0671;0.0144
IT0003261697;AZM;AZIMUT HOLDING;Vermögensverwalter;Finanzdienstleistungen;Italien;14.05.2024;EUR;25.66;positive;3.88;27.58;0.1011;niedrig;positiv;stark unterbewertet;positiv;0.0431;STOXX600;7.8;0.055;0.2869;0.4657;0.1521;0.4627;4;positiv;1390;435;0.3129;NULL;0.0576;0.1396;0.3442;0.0574
LU1072616219;BME;B&M EUROPEAN;Baumärkte & Baufachhandel;Einzel- & Grosshandel;Grossbritannien ;14.05.2024;GBp;548.6;positive;6.95;618.45;-0.0207;mittel;negativ;stark unterbewertet;positiv;0.0625;STOXX600;12.6;0.1069;0.4833;0.1084;0.2007;0.1546;3;positiv;4983;348;0.0698;1.29;0.5567;1.3892;0.1184;0.0302
GB0009697037;BAB;BABCOCK INTERNATIONAL;Transportwesen;Industrie;Grossbritannien ;14.05.2024;GBp;519.5;positive;3.2;609.36;0.3152;niedrig;positiv;stark unterbewertet;positiv;-0.0099;STOXX600;10.2;0.1067;-0.0989;0.0189;0.1069;0.2343;4;positiv;4437;-35;-0.0079;0.85;0.2862;1.3405;0.0384;0.016
GB0002634946;BA.;BAE SYSTEMS;Luftfahrt & Verteidigung;Industrie;Grossbritannien ;14.05.2024;GBp;1352;positive;51.26;1487.28;0.2175;niedrig;positiv;leicht unterbewertet;positiv;0.0075;STOXX600;16;0.132;0.1759;0.1148;0.3293;0.3142;4;positiv;23078;1857;0.0805;1.08;0.1779;0.7197;0.1144;0.0252
FO0000000179;BAKKA;BAKKAFROST;Landwirtschaft & Fischerei;Nahrungsmittel & Getränke;Norwegen;14.05.2024;NOK;617;neutral;3.38;569.48;0.1598;mittel;positiv;stark unterbewertet;negativ;-0.0778;STOXX600;12.5;0.1563;0.0897;0.1896;0.5634;0.519;2;positiv;10718;1466;0.1368;7.89;0.2217;0.3694;0.2279;0.0278
GB0000961622;BBY;BALFOUR BEATTY;Anlagenbau;Baugewerbe & Werkstoffe;Grossbritannien ;14.05.2024;GBp;385.4;positive;2.53;420.9;0.1636;niedrig;negativ;stark unterbewertet;positiv;0.008;STOXX600;8.6;0.0776;0.1644;0.0328;0.2275;0.6742;3;positiv;7993;197;0.0246;1.01;0.155;1.5181;0.0387;0.0327
CH0012410517;BALN;BALOISE HOLDING;Universalversicherungen;Versicherungen;Schweiz ;14.05.2024;CHF;147;positive;7.27;156.55;0.1153;niedrig;negativ;leicht unterbewertet;positiv;0.0797;STOXX600;15.9;0.2577;0.0737;0.0393;0.042;0.543;3;positiv;9580;240;0.0251;0.1;0.0284;0.1237;0.0334;0.0564
IT0001031084;BGN;BANCA GENERALI;Banken;Geldinstitute;Italien;14.05.2024;EUR;40.6;positive;5.05;43.24;0.2069;niedrig;positiv;stark unterbewertet;positiv;0.1118;STOXX600;12.7;0.0807;0.2804;0.3139;0.0749;0.3034;4;positiv;1434;326;0.2273;0.09;0.0207;0.0924;0.2551;0.0564
