ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;Mittelfristige Technische Trend;4 Wochen (Relative) Performance;Vergleichsindex;KGV;Langfristiges Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Buchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn;Current Ratio;Langfristiges Fremdkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Erwartete Dividende
DE0006766504;NDA;AURUBIS;Nichteisen-Metalle;Rohstoffe;Deutschland;11.06.2024;EUR;72.1;neutral;3.45;66.52;-0.0291;mittel;negativ;stark unterbewertet;negativ;0.0179;STOXX600;8;0.0928;0.0332;0.0077;0.5746;1.386;2;neutral;17064;141;0.0083;2.38;0.0277;2.3102;0.0201;0.0194
GB00BVYVFW23;AUTO;AUTO TRADER GROUP PLC.;Internet;Technologie;Grossbritannien ;11.06.2024;GBp;814.2;positive;9.42;867.12;0.1286;niedrig;positiv;fairer Preis;positiv;0.0949;STOXX600;20;0.1632;0.4436;0.5886;0.7957;0.0932;4;positiv;500;234;0.468;1.62;0.0937;0.7548;0.4958;0.0131
DE000A2LQ884;AG1;AUTO1 GROUP;Warenhäuser & Versand;Einzel- & Grosshandel;Deutschland;11.06.2024;EUR;6.89;neutral;1.67;6.17;0.062;hoch;positiv;leicht unterbewertet;positiv;0.0074;STOXX600;28.3;1.2596;-0.2017;-0.0161;0.3375;0.4131;4;positiv;5463;-116;-0.0212;3.92;0.4589;3.1939;-0.0135;0
SE0012454072;AZA;AVANZA BANK;Wertpapierdienstleistungen;Finanzdienstleistungen;Schweden ;11.06.2024;SEK;268.9;neutral;4.04;243.09;0.1516;mittel;positiv;fairer Preis;positiv;0.0746;STOXX600;19;0.109;0.3398;0.4861;0.0206;0.1588;4;neutral;4715;1982;0.4204;NULL;0.0003;0.0167;0.4397;0.0375
GB00BPQY8M80;AV.;AVIVA;Lebensversicherungen;Versicherungen;Grossbritannien ;11.06.2024;GBp;468.5;eher positive;16.04;519.53;0.0778;niedrig;negativ;leicht unterbewertet;negativ;-0.0378;STOXX600;8.2;0.0988;0.1196;0.0657;0.0278;0.7435;1;positiv;34097;1051;0.0308;0.28;0.0226;0.1078;0.0363;0.0792
CH0023405456;AVOL;AVOLTA;Spezialisierter Detailhandel;Einzel- & Grosshandel;Schweiz ;11.06.2024;CHF;36.18;neutral;6.12;39.69;0.0937;mittel;negativ;leicht unterbewertet;positiv;-0.0131;STOXX600;11;0.0866;0.037;0.0665;0.1429;0.4745;2;positiv;12790;87;0.0068;0.6;0.5614;0.7744;0.135;0.0237
FR0000120628;CS;AXA;Universalversicherungen;Versicherungen;Frankreich;11.06.2024;EUR;31.8;eher positive;77.67;35.58;0.0783;niedrig;positiv;leicht unterbewertet;negativ;-0.0503;STOXX600;7.7;0.0799;0.1587;0.1155;0.0713;0.6723;2;positiv;86647;7004;0.0808;0.27;0.1001;0.1399;0.0743;0.0692
SE0006993770;AXFO;AXFOOD;Nahrungsmittel;Einzel- & Grosshandel;Schweden ;11.06.2024;SEK;273.1;eher positive;5.51;310.44;0.0004;niedrig;negativ;leicht unterbewertet;negativ;-0.0691;STOXX600;19.4;0.1431;0.3427;0.0429;0.2291;0.1167;1;positiv;81111;2357;0.0291;0.65;0.2498;2.7021;0.066;0.0326
FR0013258662;AYV;AYVENS;Transportwesen;Industrie;Frankreich;11.06.2024;EUR;5.81;eher negative;5.34;5.21;-0.0985;hoch;negativ;leicht unterbewertet;negativ;-0.1329;STOXX600;4.1;0.1098;0.0719;0.1258;0.1616;2.1594;1;positiv;18884;816;0.0432;0.22;0.5355;0.2688;NULL;0.0882
BE0974400328;AZE;AZELIS GROUP NV;Spezialitäten-Chemie;Chemie;Belgien;11.06.2024;EUR;18.59;neutral;5.02;17.07;-0.1619;mittel;positiv;fairer Preis;negativ;-0.1506;STOXX600;15.1;0.1081;0.0686;0.0903;0.4648;0.479;2;neutral;4152;178;0.0429;1.7;0.2963;0.7452;0.0671;0.0167
IT0003261697;AZM;AZIMUT HOLDING;Vermögensverwalter;Finanzdienstleistungen;Italien;11.06.2024;EUR;23.46;eher positive;3.63;26.29;0.0068;niedrig;positiv;leicht unterbewertet;negativ;-0.0276;STOXX600;7.1;0.0532;0.2869;0.4657;0.1521;0.4627;2;neutral;1390;435;0.3129;NULL;0.0576;0.1396;0.3442;0.0642
LU1072616219;BME;B&M EUROPEAN;Baumärkte & Baufachhandel;Einzel- & Grosshandel;Grossbritannien ;11.06.2024;GBp;485;positive;6.24;607;-0.1342;mittel;positiv;stark unterbewertet;negativ;-0.1086;STOXX600;11;0.0906;0.4833;0.1084;0.2007;0.1546;2;positiv;4983;348;0.0698;1.29;0.5567;1.3892;0.1184;0.033
GB0009697037;BAB;BABCOCK INTERNATIONAL;Transportwesen;Industrie;Grossbritannien ;11.06.2024;GBp;535;positive;3.53;637.41;0.3544;niedrig;positiv;leicht unterbewertet;positiv;0.0326;STOXX600;10.7;0.0992;-0.0989;0.0189;0.1069;0.2343;4;positiv;4437;-35;-0.0079;0.85;0.2862;1.3405;0.0384;0.0161
GB0002634946;BA.;BAE SYSTEMS;Luftfahrt & Verteidigung;Industrie;Grossbritannien ;11.06.2024;GBp;1384;positive;53.95;1530.22;0.2463;niedrig;positiv;leicht unterbewertet;positiv;-0.0005;STOXX600;16.3;0.135;0.1759;0.1148;0.3293;0.3142;4;positiv;23078;1857;0.0805;1.08;0.1779;0.7197;0.1144;0.0252
FO0000000179;BAKKA;BAKKAFROST;Landwirtschaft & Fischerei;Nahrungsmittel & Getränke;Norwegen;11.06.2024;NOK;563;neutral;3.08;520.69;0.0583;mittel;positiv;stark unterbewertet;negativ;-0.0896;STOXX600;11.8;0.1488;0.0897;0.1896;0.5634;0.519;2;positiv;10718;1466;0.1368;7.89;0.2217;0.3694;0.2279;0.0304
GB0000961622;BBY;BALFOUR BEATTY;Anlagenbau;Baugewerbe & Werkstoffe;Grossbritannien ;11.06.2024;GBp;351;eher positive;2.36;404.21;0.0598;niedrig;negativ;stark unterbewertet;negativ;-0.0642;STOXX600;7.8;0.074;0.1644;0.0328;0.2275;0.6742;1;neutral;7993;197;0.0246;1.01;0.155;1.5181;0.0387;0.0361
CH0012410517;BALN;BALOISE HOLDING;Universalversicherungen;Versicherungen;Schweiz ;11.06.2024;CHF;154;positive;7.8;164.01;0.1684;niedrig;positiv;leicht unterbewertet;positiv;0.0651;STOXX600;12.9;0.193;0.0737;0.0393;0.042;0.543;4;positiv;9580;240;0.0251;0.1;0.0284;0.1237;0.0334;0.0541
IT0001031084;BGN;BANCA GENERALI;Banken;Geldinstitute;Italien;11.06.2024;EUR;37.98;positive;4.76;41.78;0.129;niedrig;positiv;stark unterbewertet;positiv;-0.005;STOXX600;11.8;0.0717;0.2804;0.3139;0.0749;0.3034;4;positiv;1434;326;0.2273;0.09;0.0207;0.0924;0.2551;0.0629
