ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;Mittelfristige Technische Trend;4 Wochen (Relative) Performance;Vergleichsindex;KGV;Langfristiges Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Buchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn;Current Ratio;Langfristiges Fremdkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Erwartete Dividende
ES0167050915;ACS;ACS ACTIVIDADES;Anlagenbau;Baugewerbe & Werkstoffe;Spanien;09.07.2024;EUR;38.52;eher positive;11.01;41.66;-0.0408;niedrig;positiv;stark unterbewertet;positiv;-0.0061;STOXX600;12.2;0.0973;0.1464;0.0369;0.1441;0.5092;3;neutral;35738;780;0.0218;1.2;0.2218;0.9661;0.0372;0.0553
SE0014781795;ADDTB;ADDTECH AB;Industriemaschinen;Industrie;Schweden ;09.07.2024;SEK;282.2;neutral;6.94;292.78;0.2746;mittel;negativ;leicht überbewertet;positiv;0.1477;STOXX600;30.5;0.2249;0.2683;0.1142;0.3649;0.1129;2;negativ;18714;1495;0.0799;1.48;0.2369;1.2255;NULL;0.0109
CH0012138605;ADEN;ADECCO GROUP;Personalberater;Industrie;Schweiz ;09.07.2024;CHF;28.9;neutral;5.59;33.25;-0.2997;mittel;positiv;leicht unterbewertet;negativ;-0.1091;STOXX600;7.1;0.1128;0.0945;0.0279;0.2892;0.4834;2;negativ;23275;316;0.0136;1.06;0.2112;2.014;0.0243;0.0858
DE000A1EWWW0;ADS;ADIDAS;Schuhe & Sport;Privat- & Haushaltswaren;Deutschland;09.07.2024;EUR;216.1;neutral;40.32;199.54;0.1734;mittel;negativ;leicht unterbewertet;negativ;-0.042;STOXX600;19.9;0.4974;-0.0164;0.0159;0.2542;0.1393;1;negativ;21427;-75;-0.0035;1.22;0.248;1.1891;0.0477;0.0098
GB00B02J6398;ADM;ADMIRAL GROUP;Sachversicherungen;Versicherungen;Grossbritannien ;09.07.2024;GBp;2593;neutral;10.23;2397.25;-0.0339;mittel;positiv;leicht unterbewertet;negativ;-0.0277;STOXX600;12.7;0.1583;0.3408;0.1254;0.168;0.1206;2;positiv;3910;338;0.0864;-2.06;0.2028;0.6622;0.1015;0.0585
NL0012969182;ADYEN;ADYEN;Spezialfinanz;Finanzdienstleistungen;Holland;09.07.2024;EUR;1104.8;eher negative;37.07;903.52;-0.053;hoch;negativ;fairer Preis;negativ;-0.0806;STOXX600;24.2;0.2545;0.221;0.4887;0.3302;0.0873;1;positiv;1863;698;0.3747;1.45;0.018;0.1947;NULL;0
BE0003851681;AED;AEDIFICA;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Belgien;09.07.2024;EUR;57.85;neutral;2.96;63.02;-0.0911;mittel;negativ;stark unterbewertet;negativ;0.0199;STOXX600;11.8;0.0618;0.0069;0.7527;0.5789;1.1815;2;positiv;321;25;0.0779;NULL;0.3171;0.052;NULL;0.0675
BMG0112X1056;AGN;AEGON;Lebensversicherungen;Versicherungen;Holland;09.07.2024;EUR;5.81;positive;10.77;6.43;0.1063;niedrig;negativ;leicht unterbewertet;positiv;0.0265;STOXX600;6.6;0.965;0.031;-0.0049;0.0265;0.8256;3;positiv;22883;234;0.0102;0.1;0.0236;0.0803;0.0031;0.0648
ES0105046017;AENA;AENA SME;Transportwesen;Industrie;Spanien;09.07.2024;EUR;18.8;eher positive;30.77;19.95;0.1456;niedrig;positiv;stark unterbewertet;positiv;0.0404;STOXX600;13.2;0.1031;0.2138;0.4419;0.4345;0.3099;4;negativ;5040;1631;0.3236;1.28;0.3742;0.2871;0.4865;0.0536
FR0010340141;ADP;AEROPORTS DE PARIS;Transportwesen;Industrie;Frankreich;09.07.2024;EUR;115.1;neutral;12.54;126.31;-0.0179;mittel;positiv;leicht unterbewertet;negativ;-0.0758;STOXX600;15.1;0.1361;0.1446;0.2042;0.2219;0.3773;2;negativ;5495;631;0.1148;0.97;0.4334;0.2795;0.2626;0.0323
BE0974264930;AGS;AGEAS SA;Lebensversicherungen;Versicherungen;Belgien;09.07.2024;EUR;43.46;positive;8.65;47.55;0.1056;niedrig;positiv;leicht unterbewertet;positiv;0.0147;STOXX600;5.5;0.0605;0.1284;0.1179;0.0773;1.028;4;positiv;11245;953;0.0847;2;0.0694;0.1171;0.1152;0.0838
IE00BF0L3536;ALBK;AIB GROUP PLC.;Banken;Geldinstitute;Irland;09.07.2024;EUR;5.18;positive;13.52;5.85;0.3363;mittel;negativ;stark unterbewertet;positiv;0.0342;STOXX600;6.9;0.0274;0.143;0.5295;0.1024;1.3739;3;positiv;5685;1996;0.3511;0.39;0.0792;0.0417;0.4028;0.0616
NL0000235190;AIR;AIRBUS;Luftfahrt & Verteidigung;Industrie;Frankreich;09.07.2024;EUR;131.84;eher positive;116.13;155.89;-0.0568;niedrig;negativ;stark unterbewertet;negativ;-0.0986;STOXX600;17.1;0.1954;0.2141;0.0797;0.1489;0.1608;3;negativ;65446;3789;0.0579;1.18;0.0858;0.5506;0.0922;0.0184
NO0010345853;AKRBP;AKER BP;Erschliessung & Produktion;Energie;Norwegen;09.07.2024;NOK;261.7;eher positive;15.74;293.85;-0.1144;niedrig;negativ;stark unterbewertet;negativ;0.0337;STOXX600;9.7;0.0529;0.1125;0.7197;0.3166;0.673;2;neutral;143547;14119;0.0984;0.95;0.1627;0.362;0.2878;0.1
NL0013267909;AKZA;AKZO NOBEL;Spezialitäten-Chemie;Chemie;Holland;09.07.2024;EUR;56.26;neutral;10.55;62.33;-0.2481;mittel;negativ;stark unterbewertet;negativ;-0.0715;STOXX600;11;0.1349;0.1023;0.0965;0.2969;0.3386;1;neutral;10668;442;0.0414;1.06;0.2174;0.7328;0.0749;0.0361
CH0432492467;ALC;ALCON AG;Medizinische Geräte;Gesundheitswesen;Schweiz ;09.07.2024;CHF;80.12;eher positive;44.85;87.45;0.2206;niedrig;negativ;leicht überbewertet;positiv;-0.0023;STOXX600;22.2;0.18;0.0504;0.123;0.6964;0.5362;2;positiv;8497;875;0.103;2.28;0.1664;0.3409;0.2322;0.0037
SE0000695876;ALFA;ALFA LAVAL;Industriemaschinen;Industrie;Schweden ;09.07.2024;SEK;455.1;neutral;18.12;492.81;0.1282;niedrig;negativ;fairer Preis;negativ;-0.031;STOXX600;19.8;0.1604;0.1709;0.152;0.45;0.2221;1;negativ;63598;6330;0.0995;1.28;0.1373;0.7729;0.1392;0.0187
DK0061802139;ALKB;ALK-ABELLO A/S;Pharmaka;Gesundheitswesen;Dänemark;09.07.2024;DKK;154.8;positive;4.92;178.69;0.5296;niedrig;negativ;leicht unterbewertet;positiv;0.0997;STOXX600;22.5;0.2613;0.1093;0.1389;0.6025;0.2187;3;positiv;4824;486;0.1007;2.26;0.0595;0.6536;0.1513;0
LU2237380790;ALE;ALLEGRO;Warenhäuser & Versand;Einzel- & Grosshandel;Polen;09.07.2024;PLN;36.09;neutral;9.6;33.14;0.083;mittel;negativ;leicht unterbewertet;negativ;-0.0068;STOXX600;15.4;0.5763;0.0314;0.1614;0.4797;0.2573;1;positiv;10185;284;0.0279;1.77;0.3469;0.5403;0.1235;0
GB00BNTJ3546;ALLFG;ALLFUNDS GROUP;Internet;Technologie;Grossbritannien ;09.07.2024;EUR;5.04;neutral;3.43;4.69;-0.2156;mittel;negativ;leicht unterbewertet;negativ;-0.0527;STOXX600;10.3;0.2774;0.0365;0.3187;0.422;0.5992;1;positiv;548;86;0.1569;NULL;0.0688;0.0984;0.4264;0.0264
DE0008404005;ALV;ALLIANZ;Universalversicherungen;Versicherungen;Deutschland;09.07.2024;EUR;259.9;eher positive;110.58;276.49;0.0742;niedrig;negativ;leicht unterbewertet;negativ;0.0164;STOXX600;8.8;0.086;0.159;0.1123;0.056;0.5671;2;positiv;124636;8541;0.0685;0.9;0.0183;0.13;0.0868;0.0596
CH0008837566;ALLN;ALLREAL HOLDING;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweiz ;09.07.2024;CHF;154.4;eher positive;2.83;162.52;0.0266;niedrig;positiv;fairer Preis;positiv;0.041;STOXX600;20.6;0.11;0.0256;0.4247;0.4446;1.025;4;positiv;428;65;0.1519;NULL;0.3651;0.0748;0.1574;0.0453
FR0010220475;ALO;ALSTOM;Industriemaschinen;Industrie;Frankreich;09.07.2024;EUR;15.95;eher negative;8.2;13.88;0.3881;hoch;negativ;leicht unterbewertet;positiv;-0.0767;STOXX600;7.4;0.1845;-0.0142;0.0117;0.2866;0.9429;2;negativ;16507;-128;-0.0078;0.82;0.1006;0.5258;0.0459;0.0033
FR0000071946;ATE;ALTEN;Informatik Dienstleister;Technologie;Frankreich;09.07.2024;EUR;103.7;eher positive;4.06;122.91;-0.2296;mittel;positiv;stark unterbewertet;negativ;-0.0789;STOXX600;10.2;0.0988;0.1145;0.0889;0.5971;0.4367;2;positiv;4069;233;0.0573;1.68;0.0581;1.1926;0.0811;0.0169
ES0109067019;AMS;AMADEUS IT GROUP;Software;Technologie;Spanien;09.07.2024;EUR;61.62;positive;30.45;70;-0.0502;niedrig;positiv;leicht unterbewertet;positiv;-0.0547;STOXX600;16.7;0.1488;0.2493;0.273;0.4152;0.1568;3;positiv;5441;1117;0.2053;0.96;0.2538;0.504;NULL;0.0243
DK0060946788;AMBUB;AMBU A/S;Medizinische Geräte;Gesundheitswesen;Dänemark;09.07.2024;DKK;133.85;neutral;5.18;120.31;0.2723;mittel;negativ;fairer Preis;positiv;0.0006;STOXX600;41.4;0.4431;0.0312;0.0582;0.7863;0.3148;3;positiv;4775;168;0.0352;2.13;0.0746;0.6962;0.1035;0.0012
IT0004056880;AMP;AMPLIFON;Medizinische Geräte;Gesundheitswesen;Italien;09.07.2024;EUR;30.45;neutral;7.44;33.73;-0.0284;mittel;positiv;fairer Preis;negativ;-0.0819;STOXX600;22.7;0.1848;0.1409;0.1183;0.2981;0.1556;2;positiv;2260;155;0.0686;0.52;0.2963;0.612;0.1868;0.012
FR0004125920;AMUN;AMUNDI;Vermögensverwalter;Finanzdienstleistungen;Frankreich;09.07.2024;EUR;62.8;neutral;14.09;68.14;0.0195;mittel;negativ;leicht unterbewertet;positiv;-0.0253;STOXX600;8.4;0.0768;0.1025;0.2613;0.3157;0.9074;2;positiv;5790;1165;0.2012;NULL;0.5181;0.1608;0.2159;0.0686
AT0000730007;ANDR;ANDRITZ;Industriemaschinen;Industrie;Oesterreich;09.07.2024;EUR;56.2;eher positive;6.12;63;-0.0035;niedrig;positiv;stark unterbewertet;positiv;0.005;STOXX600;9.2;0.0817;0.2343;0.0879;0.2414;0.3892;4;negativ;8660;510;0.0589;1.18;0.0737;0.96;0.0839;0.0486
GB00BTK05J60;AAL;ANGLO AMERICAN;Minen;Rohstoffe;Grossbritannien ;09.07.2024;GBp;2338.89;eher negative;41.33;2087.5;0.2075;hoch;positiv;stark unterbewertet;negativ;0.0212;STOXX600;10.4;0.1151;0.0116;0.2209;0.3765;0.8227;3;neutral;24662;228;0.0092;1.85;0.228;0.4725;0.0968;0.0299
BE0974293251;ABI;ANHEUSER-BUSCH INBEV;Brauereien;Nahrungsmittel & Getränke;Belgien;09.07.2024;EUR;54.66;neutral;121.44;59.18;-0.0644;mittel;negativ;leicht unterbewertet;negativ;-0.0318;STOXX600;13.8;0.1348;0.0667;0.2446;0.3703;0.7453;1;negativ;54925;4940;0.0899;0.63;0.3356;0.2745;0.1807;0.0194
GB0000456144;ANTO;ANTOFAGASTA;Minen;Rohstoffe;Grossbritannien ;09.07.2024;GBp;2177;neutral;27.49;1971.75;0.2962;mittel;positiv;fairer Preis;positiv;0.0374;STOXX600;20.3;0.193;0.0957;0.2882;0.4556;0.4241;4;neutral;5088;672;0.1321;2.37;0.1617;0.3301;0.3236;0.015
DK0010244508;MAERSKB;AP MOELLER MAERSK;Seefracht;Industrie;Dänemark;09.07.2024;DKK;11680;eher negative;23.45;10303.38;-0.0001;hoch;positiv;leicht unterbewertet;positiv;-0.0182;STOXX600;35.9;1.5582;0.0722;0.0922;0.6546;4.8572;3;negativ;351883;26341;0.0749;2.5;0.145;0.6318;0.197;0.0119
NL0006237562;ARCAD;ARCADIS;Anlagenbau;Baugewerbe & Werkstoffe;Holland;09.07.2024;EUR;60.5;positive;5.76;66.28;0.2387;niedrig;positiv;stark unterbewertet;positiv;0.0488;STOXX600;14.1;0.1617;0.1504;0.0661;0.2671;0.242;4;neutral;5003;160;0.032;1.2;0.2717;1.2566;0.0667;0.0185
LU1598757687;MT;ARCELORMITTAL;Stahl;Rohstoffe;Frankreich;09.07.2024;EUR;20.74;neutral;18.85;19.8;-0.1922;mittel;negativ;leicht unterbewertet;negativ;-0.0912;STOXX600;4.4;0.3437;0.0174;0.0474;0.5746;2.3223;1;neutral;63152;850;0.0135;1.53;0.0891;0.7428;0.0526;0.0231
NL0010832176;ARGX;ARGENX;Biotechnologie;Gesundheitswesen;Belgien;09.07.2024;EUR;416;neutral;25.78;375.58;0.2111;hoch;negativ;leicht unterbewertet;positiv;0.1957;STOXX600;49.1;1.2312;-0.0736;-0.2784;0.902;0.1824;3;positiv;1134;-273;-0.2407;9.75;0.0034;0.2758;-0.1498;0
FR0010313833;AKE;ARKEMA;Grundchemikalien;Chemie;Frankreich;09.07.2024;EUR;81.6;neutral;6.78;91.88;-0.2078;mittel;positiv;leicht unterbewertet;negativ;-0.0663;STOXX600;7.1;0.094;0.0643;0.0745;0.448;0.8439;2;neutral;9514;418;0.0439;2.34;0.3054;0.6554;0.1165;0.0465
GB0000536739;AHT;ASHTEAD GROUP;Dienstleister für Unternehmen;Industrie;Grossbritannien ;09.07.2024;GBp;5030;neutral;28.43;5782.77;-0.0791;mittel;positiv;leicht unterbewertet;negativ;-0.0725;STOXX600;13.2;0.1163;0.282;0.261;0.3208;0.2387;2;negativ;8057;1348;0.1673;1.01;0.4675;0.5407;0.3628;0.0175
NL0000334118;ASM;ASM INTERNATIONAL;Halbleiter;Technologie;Holland;09.07.2024;EUR;724.6;eher negative;37.97;571.3;0.5419;hoch;negativ;leicht überbewertet;positiv;0.0766;STOXX600;32.1;0.2829;0.2331;0.2451;0.7634;0.1396;2;positiv;2634;752;0.2855;2.45;0.0054;0.6233;0.3542;0.0052
NL0010273215;ASML;ASML HOLDING;Halbleiter;Technologie;Holland;09.07.2024;EUR;982.7;neutral;424.55;1056.9;0.4415;mittel;negativ;fairer Preis;positiv;0.0473;STOXX600;29.3;0.2854;0.5827;0.3351;0.3367;0.0502;3;positiv;27559;7839;0.2844;1.5;0.1159;0.6897;0.3113;0.0075
NL0011872643;ASRNL;ASR NEDERLAND;Universalversicherungen;Versicherungen;Holland;09.07.2024;EUR;44.72;positive;10.15;51.35;0.0473;niedrig;positiv;leicht unterbewertet;negativ;0.0013;STOXX600;7.9;0.0613;0.1245;0.3264;0.0555;0.9251;3;positiv;12675;1038;0.0819;0.13;0.0925;0.0843;NULL;0.0734
SE0007100581;ASSAB;ASSA ABLOY AB;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Schweden ;09.07.2024;SEK;295.9;eher positive;31.62;325.96;0.0193;niedrig;negativ;fairer Preis;negativ;-0.0214;STOXX600;16.9;0.1341;0.1488;0.1785;0.464;0.2997;1;neutral;140651;13632;0.0969;1.1;0.273;0.7122;0.1337;0.0203
IT0000062072;G;ASSICURAZIONI GENERALI;Universalversicherungen;Versicherungen;Italien;09.07.2024;EUR;23.5;positive;40.44;25.15;0.23;niedrig;positiv;leicht unterbewertet;positiv;0.0103;STOXX600;8.1;0.0754;0.1293;0.0894;0.0576;0.9627;4;positiv;69120;3746;0.0542;0.04;0.072;0.1375;NULL;0.061
GB0006731235;ABF;ASSOCIATED BRIT.FOODS;Nahrungsmittel;Nahrungsmittel & Getränke;Grossbritannien ;09.07.2024;GBp;2437;eher positive;23.78;2760.52;0.0296;niedrig;negativ;stark unterbewertet;negativ;-0.0255;STOXX600;10.9;0.1007;0.0941;0.0813;0.5887;0.6984;1;negativ;19763;1044;0.0528;1.83;0.1708;1.0488;0.0977;0.0282
GB0009895292;AZN;ASTRAZENECA;Pharmaka;Gesundheitswesen;Grossbritannien ;09.07.2024;GBp;11944;eher positive;238.98;13323.2;0.1268;niedrig;positiv;leicht unterbewertet;negativ;-0.0262;STOXX600;14.9;0.1364;0.156;0.2199;0.3871;0.1869;2;positiv;36854;4791;0.13;0.82;0.2297;0.4646;0.2377;0.0206
SE0017486889;ATCOA;ATLAS COPCO AB;Industriemaschinen;Industrie;Schweden ;09.07.2024;SEK;193.4;neutral;86.36;208.36;0.1144;niedrig;negativ;leicht überbewertet;positiv;-0.0313;STOXX600;27.9;0.1721;0.3066;0.2148;0.5006;0.1592;1;negativ;172664;28040;0.1624;1.59;0.164;0.9452;0.2073;0.0162
DE0006766504;NDA;AURUBIS;Nichteisen-Metalle;Rohstoffe;Deutschland;09.07.2024;EUR;78.2;neutral;3.71;71.53;0.0531;mittel;negativ;leicht unterbewertet;positiv;0.0959;STOXX600;8.9;0.0769;0.0332;0.0077;0.5746;1.386;3;neutral;17064;141;0.0083;2.38;0.0277;2.3102;0.0201;0.0179
GB00BVYVFW23;AUTO;AUTO TRADER GROUP PLC.;Internet;Technologie;Grossbritannien ;09.07.2024;GBp;807.4;eher positive;9.24;882.72;0.1192;niedrig;positiv;fairer Preis;positiv;0.0083;STOXX600;19.6;0.1615;0.4436;0.5886;0.7957;0.0932;3;positiv;500;234;0.468;1.62;0.0937;0.7548;0.4958;0.0135
DE000A2LQ884;AG1;AUTO1 GROUP;Warenhäuser & Versand;Einzel- & Grosshandel;Deutschland;09.07.2024;EUR;6.03;eher negative;1.46;5.25;-0.0706;hoch;negativ;leicht unterbewertet;negativ;-0.1341;STOXX600;25.9;1.2705;-0.2017;-0.0161;0.3375;0.4131;1;positiv;5463;-116;-0.0212;3.92;0.4589;3.1939;-0.0135;0
SE0012454072;AZA;AVANZA BANK;Wertpapierdienstleistungen;Finanzdienstleistungen;Schweden ;09.07.2024;SEK;261;neutral;3.9;238.34;0.1178;mittel;positiv;fairer Preis;positiv;-0.0133;STOXX600;17.3;0.1055;0.3398;0.4861;0.0206;0.1588;3;positiv;4715;1982;0.4204;NULL;0.0003;0.0167;0.4397;0.0387
GB00BPQY8M80;AV.;AVIVA;Lebensversicherungen;Versicherungen;Grossbritannien ;09.07.2024;GBp;475.4;positive;16.24;529.71;0.0936;niedrig;positiv;leicht unterbewertet;negativ;0.0173;STOXX600;8.3;0.0997;0.1196;0.0657;0.0278;0.7435;3;positiv;34097;1051;0.0308;0.28;0.0226;0.1078;0.0363;0.0785
CH0023405456;AVOL;AVOLTA;Spezialisierter Detailhandel;Einzel- & Grosshandel;Schweiz ;09.07.2024;CHF;34.32;eher negative;5.92;30.85;0.0375;hoch;negativ;leicht unterbewertet;negativ;-0.0403;STOXX600;10.8;0.0832;0.037;0.0665;0.1429;0.4745;1;positiv;12790;87;0.0068;0.6;0.5614;0.7744;0.135;0.0254
FR0000120628;CS;AXA;Universalversicherungen;Versicherungen;Frankreich;09.07.2024;EUR;31.63;eher positive;77.51;34.55;0.0726;niedrig;positiv;leicht unterbewertet;negativ;-0.0242;STOXX600;7.6;0.0802;0.1587;0.1155;0.0713;0.6723;2;positiv;86647;7004;0.0808;0.27;0.1001;0.1399;0.0743;0.07
SE0006993770;AXFO;AXFOOD;Nahrungsmittel;Einzel- & Grosshandel;Schweden ;09.07.2024;SEK;284;eher positive;5.8;310.88;0.0403;niedrig;negativ;fairer Preis;negativ;0.0771;STOXX600;20;0.1433;0.3427;0.0429;0.2291;0.1167;2;positiv;81111;2357;0.0291;0.65;0.2498;2.7021;0.066;0.0316
FR0013258662;AYV;AYVENS;Transportwesen;Industrie;Frankreich;09.07.2024;EUR;5.76;eher negative;5.34;5.1;-0.1063;hoch;positiv;leicht unterbewertet;negativ;-0.0845;STOXX600;3.8;0.1229;0.0719;0.1258;0.1616;2.1594;2;negativ;18884;816;0.0432;0.22;0.5355;0.2688;NULL;0.0917
BE0974400328;AZE;AZELIS GROUP NV;Spezialitäten-Chemie;Chemie;Belgien;09.07.2024;EUR;17.08;neutral;4.51;15.76;-0.2299;mittel;negativ;fairer Preis;negativ;-0.0786;STOXX600;13.9;0.103;0.0686;0.0903;0.4648;0.479;1;neutral;4152;178;0.0429;1.7;0.2963;0.7452;0.0671;0.0184
IT0003261697;AZM;AZIMUT HOLDING;Vermögensverwalter;Finanzdienstleistungen;Italien;09.07.2024;EUR;22.62;eher positive;3.51;25.22;-0.0293;niedrig;positiv;leicht unterbewertet;negativ;-0.0416;STOXX600;6.7;0.0574;0.2869;0.4657;0.1521;0.4627;2;positiv;1390;435;0.3129;NULL;0.0576;0.1396;0.3442;0.0653
LU1072616219;BME;B&M EUROPEAN;Baumärkte & Baufachhandel;Einzel- & Grosshandel;Grossbritannien ;09.07.2024;GBp;441;neutral;5.86;499.56;-0.2128;mittel;negativ;stark unterbewertet;negativ;-0.0631;STOXX600;10.3;0.0885;0.4833;0.1084;0.2007;0.1546;1;positiv;4983;348;0.0698;1.29;0.5567;1.3892;0.1184;0.0357
GB0009697037;BAB;BABCOCK INTERNATIONAL;Transportwesen;Industrie;Grossbritannien ;09.07.2024;GBp;520;eher positive;3.43;601.18;0.3165;niedrig;negativ;leicht unterbewertet;negativ;-0.0234;STOXX600;10.5;0.0988;-0.0989;0.0189;0.1069;0.2343;1;negativ;4437;-35;-0.0079;0.85;0.2862;1.3405;0.0384;0.0159
GB0002634946;BA.;BAE SYSTEMS;Luftfahrt & Verteidigung;Industrie;Grossbritannien ;09.07.2024;GBp;1268.5;eher positive;49.15;1440.99;0.1423;niedrig;positiv;leicht unterbewertet;negativ;-0.0682;STOXX600;15;0.1298;0.1759;0.1148;0.3293;0.3142;2;negativ;23078;1857;0.0805;1.08;0.1779;0.7197;0.1144;0.0275
FO0000000179;BAKKA;BAKKAFROST;Landwirtschaft & Fischerei;Nahrungsmittel & Getränke;Norwegen;09.07.2024;NOK;546;neutral;3.06;504.51;0.0263;mittel;negativ;stark unterbewertet;negativ;-0.0103;STOXX600;11.6;0.1534;0.0897;0.1896;0.5634;0.519;1;negativ;10718;1466;0.1368;7.89;0.2217;0.3694;0.2279;0.0305
GB0000961622;BBY;BALFOUR BEATTY;Anlagenbau;Baugewerbe & Werkstoffe;Grossbritannien ;09.07.2024;GBp;392.4;eher positive;2.61;413.15;0.1848;niedrig;negativ;stark unterbewertet;positiv;0.1113;STOXX600;8.9;0.0782;0.1644;0.0328;0.2275;0.6742;3;neutral;7993;197;0.0246;1.01;0.155;1.5181;0.0387;0.0329
CH0012410517;BALN;BALOISE HOLDING;Universalversicherungen;Versicherungen;Schweiz ;09.07.2024;CHF;160.5;positive;8.13;170.93;0.2178;niedrig;positiv;leicht unterbewertet;positiv;0.0533;STOXX600;12.9;0.1837;0.0737;0.0393;0.042;0.543;4;positiv;9580;240;0.0251;0.1;0.0284;0.1237;0.0334;0.0521
IT0001031084;BGN;BANCA GENERALI;Banken;Geldinstitute;Italien;09.07.2024;EUR;37.62;positive;4.71;41.68;0.1183;niedrig;positiv;stark unterbewertet;positiv;-0.0004;STOXX600;11.6;0.069;0.2804;0.3139;0.0749;0.3034;3;positiv;1434;326;0.2273;0.09;0.0207;0.0924;0.2551;0.0643
