ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Dividende;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Bear Market Factor;Bad News Factor;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;MF Tech. Trend;4W Rel. Perf;Vergleichsindex;KGV;LF Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Burchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn %;Current Ratio;Langfristiges Eigenkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Ausbezahlte Dividenden (in Mio)
GB00B02J6398;ADM;ADMIRAL GROUP;Sachversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;2697;5.59;neutral;10.65;2858.26;-41;211;0.48%;mittel;negativ;stark unterbewertet;positiv;8.61%;STOXX600;14.3;15.20%;34%;13%;17%;12%;3;neutral;3910;338;9%;-2.06;20%;66.22%;10.15%;307
NL0012969182;ADYEN;ADYEN;Spezialfinanz;Finanzdienstleistungen;Holland;02.08.2024;EUR;1043.8;0;eher negative;37.07;857.5;154;293;-10.53%;hoch;negativ;fairer Preis;negativ;-4.01%;STOXX600;23.7;24.60%;22%;49%;33%;9%;1;neutral;1863;698;37%;1.45;2%;19.47%;NULL;NULL
BE0003851681;AED;AEDIFICA;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Belgien;02.08.2024;EUR;60.6;6.44;eher positive;3.07;66.87;32;186;-4.79%;mittel;positiv;stark unterbewertet;positiv;9.53%;STOXX600;12.1;6.50%;1%;75%;58%;118%;4;neutral;321;25;8%;NULL;32%;5.20%;NULL;NULL
BMG0112X1056;AGN;AEGON;Lebensversicherungen;Versicherungen;Holland;02.08.2024;EUR;5.47;6.94;neutral;9.96;6.1;19;126;4.15%;mittel;negativ;leicht unterbewertet;negativ;-3.27%;STOXX600;6;85.90%;3%;0%;3%;83%;1;neutral;22883;234;1%;0.1;2%;8.03%;0.31%;494
ES0105046009;AENA;AENA SME;Transportwesen;Industrie;Spanien;02.08.2024;EUR;169.8;6.08;neutral;27.73;191.12;5;162;3.47%;mittel;positiv;stark unterbewertet;negativ;-7.22%;STOXX600;11.8;9.60%;21%;44%;43%;31%;2;negativ;5040;1631;32%;1.28;37%;28.71%;48.65%;724
FR0010340141;ADP;AEROPORTS DE PARIS;Transportwesen;Industrie;Frankreich;02.08.2024;EUR;115.5;3.26;eher negative;12.58;104.39;81;120;-1.45%;hoch;positiv;stark unterbewertet;negativ;3.17%;STOXX600;15.1;14.10%;14%;20%;22%;38%;3;negativ;5495;631;11%;0.97;43%;27.95%;26.26%;309
BE0974264930;AGS;AGEAS SA;Lebensversicherungen;Versicherungen;Belgien;02.08.2024;EUR;41.66;8.75;neutral;8.54;45.93;16;161;5.98%;mittel;positiv;leicht unterbewertet;negativ;-0.11%;STOXX600;5.3;6.10%;13%;12%;8%;103%;3;neutral;11245;953;8%;2;7%;11.71%;11.52%;540
IE00BF0L3536;ALBK;AIB GROUP PLC.;Banken;Geldinstitute;Irland;02.08.2024;EUR;4.99;6.48;neutral;13.59;5.59;-30;324;28.71%;mittel;negativ;stark unterbewertet;negativ;3.28%;STOXX600;6.8;2.70%;14%;53%;10%;137%;2;negativ;5685;1996;35%;0.39;8%;4.17%;40.28%;166
NL0000235190;AIR;AIRBUS;Luftfahrt & Verteidigung;Industrie;Frankreich;02.08.2024;EUR;131.9;1.92;neutral;114.85;146.51;0;227;-5.64%;mittel;negativ;stark unterbewertet;negativ;2.57%;STOXX600;17.1;20.00%;21%;8%;15%;16%;2;negativ;65446;3789;6%;1.18;9%;55.06%;9.22%;1421
DE000A0WMPJ6;AIXA;AIXTRON;Halbleiter;Technologie;Deutschland;02.08.2024;EUR;19.84;2.17;eher negative;2.5;17.63;106;375;-48.69%;hoch;negativ;leicht unterbewertet;negativ;9.77%;STOXX600;16.3;12.00%;19%;24%;75%;18%;2;negativ;630;145;23%;3.12;0%;61.16%;24.89%;35
NO0010345853;AKRBP;AKER BP;Erschliessung & Produktion;Energie;Norwegen;02.08.2024;NOK;253;10.75;neutral;15.05;279.58;-17;219;-14.38%;mittel;negativ;stark unterbewertet;negativ;-5.37%;STOXX600;9.3;3.80%;11%;72%;32%;67%;1;negativ;143547;14119;10%;0.95;16%;36.20%;28.78%;14697
NL0013267909;AKZA;AKZO NOBEL;Spezialitäten-Chemie;Chemie;Holland;02.08.2024;EUR;55.9;3.61;neutral;10.4;61.5;55;184;-25.29%;mittel;negativ;stark unterbewertet;negativ;2.02%;STOXX600;11.3;13.60%;10%;10%;30%;34%;2;positiv;10668;442;4%;1.06;22%;73.28%;7.49%;343
CH0432492467;ALC;ALCON AG;Medizinische Geräte;Gesundheitswesen;Schweiz ;02.08.2024;CHF;79.08;0.38;neutral;47.86;73.3;-1;187;20.48%;mittel;negativ;leicht überbewertet;positiv;1.11%;STOXX600;22.5;18.00%;5%;12%;70%;54%;2;positiv;8497;875;10%;2.28;17%;34.09%;23.22%;104
SE0000695876;ALFA;ALFA LAVAL;Industriemaschinen;Industrie;Schweden ;02.08.2024;SEK;440.7;1.93;neutral;17.73;422.97;-27;157;9.25%;mittel;negativ;fairer Preis;negativ;-3.32%;STOXX600;19.1;15.80%;17%;15%;45%;22%;1;negativ;63598;6330;10%;1.28;14%;77.29%;13.92%;2480
DK0061802139;ALKB;ALK-ABELLO A/S;Pharmaka;Gesundheitswesen;Dänemark;02.08.2024;DKK;148.4;0;eher positive;5.06;174.46;-89;186;46.64%;niedrig;negativ;leicht unterbewertet;negativ;-1.39%;STOXX600;21.3;25.20%;11%;14%;60%;22%;1;positiv;4824;486;10%;2.26;6%;65.36%;15.13%;0
LU2237380790;ALE;ALLEGRO;Warenhäuser & Versand;Einzel- & Grosshandel;Polen;02.08.2024;PLN;35.86;0;neutral;9.66;40.23;-6;306;7.61%;mittel;negativ;leicht unterbewertet;negativ;0.96%;STOXX600;15.5;54.00%;3%;16%;48%;26%;1;NULL;10185;284;3%;1.77;35%;54.03%;12.35%;0
GB00BNTJ3546;ALLFG;ALLFUNDS GROUP;Internet;Technologie;Grossbritannien ;02.08.2024;EUR;5.26;2.48;neutral;3.75;4.84;67;247;-18.13%;mittel;negativ;leicht unterbewertet;negativ;4.69%;STOXX600;10.6;26.20%;4%;32%;42%;60%;2;negativ;548;86;16%;NULL;7%;9.84%;42.64%;57
DE0008404005;ALV;ALLIANZ;Universalversicherungen;Versicherungen;Deutschland;02.08.2024;EUR;251.3;6.19;neutral;107.29;272.44;-15;141;3.86%;mittel;positiv;leicht unterbewertet;negativ;-0.30%;STOXX600;8.6;8.60%;16%;11%;6%;57%;3;neutral;124636;8541;7%;0.9;2%;13.00%;8.68%;4931
CH0008837566;ALLN;ALLREAL HOLDING;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweiz ;02.08.2024;CHF;156.6;4.47;eher positive;2.96;165.47;-32;139;4.12%;mittel;positiv;fairer Preis;positiv;4.78%;STOXX600;19.4;11.40%;3%;42%;44%;102%;4;neutral;428;65;15%;NULL;37%;7.48%;15.74%;116
FR0010220475;ALO;ALSTOM;Industriemaschinen;Industrie;Frankreich;02.08.2024;EUR;17.13;0.68;eher negative;8.76;14.9;84;516;49.08%;hoch;negativ;leicht unterbewertet;positiv;8.96%;STOXX600;8;18.10%;-4%;2%;26%;160%;3;negativ;17619;-309;-2%;0.83;10%;52.98%;2.99%;0
FR0000071946;ATE;ALTEN;Informatik Dienstleister;Technologie;Frankreich;02.08.2024;EUR;97;1.7;eher negative;3.73;92.15;94;202;-27.93%;hoch;negativ;stark unterbewertet;negativ;-4.35%;STOXX600;11.5;9.50%;11%;9%;60%;44%;1;negativ;4069;233;6%;1.68;6%;119.26%;8.11%;51
ES0109067019;AMS;AMADEUS IT GROUP;Software;Technologie;Spanien;02.08.2024;EUR;56.9;2.65;neutral;28.55;64.23;26;184;-12.30%;mittel;negativ;leicht unterbewertet;negativ;-5.52%;STOXX600;15.5;14.20%;25%;27%;42%;16%;1;negativ;5441;1117;21%;0.96;25%;50.40%;NULL;NULL
DK0060946788;AMBUB;AMBU A/S;Medizinische Geräte;Gesundheitswesen;Dänemark;02.08.2024;DKK;133.6;0.13;neutral;5.42;146.89;43;223;27.00%;mittel;negativ;fairer Preis;positiv;0.47%;STOXX600;42.3;42.30%;3%;6%;79%;31%;3;positiv;4775;168;4%;2.13;7%;69.62%;10.35%;0
IT0004056880;AMP;AMPLIFON;Medizinische Geräte;Gesundheitswesen;Italien;02.08.2024;EUR;28.82;1.28;neutral;6.93;27.52;23;210;-8.04%;mittel;negativ;fairer Preis;negativ;-11.34%;STOXX600;24.5;19.10%;14%;12%;30%;16%;1;positiv;2260;155;7%;0.52;30%;61.20%;18.68%;65
FR0004125920;AMUN;AMUNDI;Vermögensverwalter;Finanzdienstleistungen;Frankreich;02.08.2024;EUR;64.05;6.83;neutral;14.71;70.91;64;144;3.98%;mittel;negativ;leicht unterbewertet;negativ;6.20%;STOXX600;8.6;7.50%;10%;26%;32%;91%;2;neutral;5790;1165;20%;NULL;52%;16.08%;21.59%;831
AT0000730007;ANDR;ANDRITZ;Industriemaschinen;Industrie;Oesterreich;02.08.2024;EUR;55.3;5.01;neutral;6.24;60.81;-31;233;-1.95%;mittel;positiv;leicht unterbewertet;negativ;-2.43%;STOXX600;8.3;8.60%;23%;9%;24%;39%;2;negativ;8660;510;6%;1.18;7%;96.00%;8.39%;208
GB00B1XZS820;AAL;ANGLO AMERICAN;Minen;Rohstoffe;Grossbritannien ;02.08.2024;GBp;2243.5;3.24;neutral;39.57;2066.01;65;392;13.85%;mittel;negativ;stark unterbewertet;negativ;-3.81%;STOXX600;10.2;10.70%;1%;22%;38%;82%;1;negativ;24662;228;1%;1.85;23%;47.25%;9.68%;1258
BE0974293251;ABI;ANHEUSER-BUSCH INBEV;Brauereien;Nahrungsmittel & Getränke;Belgien;02.08.2024;EUR;57.58;1.88;neutral;124.76;60.61;-9;186;-1.44%;mittel;negativ;leicht unterbewertet;positiv;8.01%;STOXX600;14.7;13.50%;7%;24%;37%;75%;3;neutral;54925;4940;9%;0.63;34%;27.45%;18.07%;2787
GB0000456144;ANTO;ANTOFAGASTA;Minen;Rohstoffe;Grossbritannien ;02.08.2024;GBp;1888;1.64;neutral;24.19;1773.88;62;215;12.41%;mittel;negativ;leicht unterbewertet;negativ;-6.81%;STOXX600;20.2;19.30%;10%;29%;46%;42%;1;negativ;5088;672;13%;2.37;16%;33.01%;32.36%;493
DK0010244508;MAERSKB;AP MOELLER MAERSK;Seefracht;Industrie;Dänemark;02.08.2024;DKK;10835;1.31;neutral;22.61;12665.65;3;390;-7.25%;mittel;negativ;leicht unterbewertet;negativ;-11.79%;STOXX600;37;123.40%;7%;9%;65%;486%;1;negativ;351883;26341;7%;2.5;14%;63.18%;19.70%;74957
NL0006237562;ARCAD;ARCADIS;Anlagenbau;Baugewerbe & Werkstoffe;Holland;02.08.2024;EUR;62.8;1.82;eher positive;6.2;67.58;-50;126;28.58%;mittel;positiv;stark unterbewertet;positiv;8.46%;STOXX600;14.6;16.20%;15%;7%;27%;24%;4;neutral;5003;160;3%;1.2;27%;125.66%;6.67%;66
LU1598757687;MT;ARCELORMITTAL;Stahl;Rohstoffe;Frankreich;02.08.2024;EUR;19.42;2.52;eher negative;17.8;18.45;77;189;-24.36%;hoch;negativ;leicht unterbewertet;negativ;-5.58%;STOXX600;4.6;29.60%;2%;5%;57%;232%;1;negativ;63152;850;1%;1.53;9%;74.28%;5.26%;341
NL0010832176;ARGX;ARGENX;Biotechnologie;Gesundheitswesen;Belgien;02.08.2024;EUR;455.3;0;eher positive;31.01;489;-3;346;32.55%;mittel;positiv;leicht unterbewertet;positiv;13.36%;STOXX600;34.7;272.70%;-7%;-28%;90%;18%;4;positiv;1134;-273;-24%;9.75;0%;27.58%;-14.98%;0
FR0010313833;AKE;ARKEMA;Grundchemikalien;Chemie;Frankreich;02.08.2024;EUR;81.7;4.69;neutral;6.88;91.13;52;184;-20.68%;mittel;negativ;leicht unterbewertet;negativ;1.41%;STOXX600;7.5;8.70%;6%;7%;45%;84%;2;positiv;9514;418;4%;2.34;31%;65.54%;11.65%;253
GB0000536739;AHT;ASHTEAD GROUP;Dienstleister für Unternehmen;Industrie;Grossbritannien ;02.08.2024;GBp;5162;1.72;neutral;30.36;4765.05;61;204;-5.49%;mittel;positiv;leicht unterbewertet;negativ;3.14%;STOXX600;13.4;11.90%;22%;24%;33%;22%;3;negativ;8640;1272;15%;1.13;48%;49.97%;35.34%;347
NL0000334118;ASM;ASM INTERNATIONAL;Halbleiter;Technologie;Holland;02.08.2024;EUR;545.2;0.69;neutral;32.97;640.93;4;331;16.01%;mittel;positiv;fairer Preis;negativ;-20.42%;STOXX600;22.4;24.90%;23%;25%;76%;14%;2;negativ;2634;752;29%;2.45;1%;62.33%;35.42%;123
NL0010273215;ASML;ASML HOLDING;Halbleiter;Technologie;Holland;02.08.2024;EUR;737.1;0.99;neutral;353.76;918.69;31;257;8.13%;mittel;negativ;leicht unterbewertet;negativ;-20.99%;STOXX600;21.6;25.70%;58%;34%;34%;5%;1;negativ;27559;7839;28%;1.5;12%;68.97%;31.13%;2348
NL0011872643;ASRNL;ASR NEDERLAND;Universalversicherungen;Versicherungen;Holland;02.08.2024;EUR;43.9;7.48;neutral;10.21;48.92;15;199;2.81%;mittel;positiv;leicht unterbewertet;negativ;2.42%;STOXX600;8.2;6.70%;12%;33%;6%;93%;3;neutral;12675;1038;8%;0.13;9%;8.43%;NULL;NULL
SE0007100581;ASSAB;ASSA ABLOY AB;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Schweden ;02.08.2024;SEK;301.7;2.01;neutral;32.61;325.64;-10;148;3.93%;mittel;negativ;fairer Preis;negativ;4.00%;STOXX600;17.5;13.80%;15%;18%;46%;30%;2;neutral;140651;13632;10%;1.1;27%;71.22%;13.37%;5332
IT0000062072;G;ASSICURAZIONI GENERALI;Universalversicherungen;Versicherungen;Italien;02.08.2024;EUR;22.73;6.33;neutral;39.7;24.73;-42;155;18.97%;mittel;negativ;leicht unterbewertet;negativ;-1.33%;STOXX600;8;7.60%;13%;9%;6%;96%;1;neutral;69120;3746;5%;0.04;7%;13.75%;NULL;1793
GB0006731235;ABF;ASSOCIATED BRIT.FOODS;Nahrungsmittel;Nahrungsmittel & Getränke;Grossbritannien ;02.08.2024;GBp;2464;2.78;neutral;23.48;2695.56;-14;171;4.10%;mittel;negativ;stark unterbewertet;negativ;2.48%;STOXX600;10.9;9.70%;9%;8%;59%;70%;2;neutral;19763;1044;5%;1.83;17%;104.88%;9.77%;345
GB0009895292;AZN;ASTRAZENECA;Pharmaka;Gesundheitswesen;Grossbritannien ;02.08.2024;GBp;12610;1.97;eher positive;247.26;13451.51;-14;117;18.96%;mittel;negativ;leicht unterbewertet;positiv;6.89%;STOXX600;15.5;14.00%;16%;22%;39%;19%;3;positiv;36854;4791;13%;0.82;23%;46.46%;23.77%;3605
SE0017486889;ATCOA;ATLAS COPCO AB;Industriemaschinen;Industrie;Schweden ;02.08.2024;SEK;175.35;1.79;eher negative;79.86;166.58;-8;177;1.04%;mittel;negativ;leicht überbewertet;negativ;-8.70%;STOXX600;24.4;16.10%;31%;21%;50%;16%;0;negativ;172664;28040;16%;1.59;16%;94.52%;20.73%;11203
DE0006766504;NDA;AURUBIS;Nichteisen-Metalle;Rohstoffe;Deutschland;02.08.2024;EUR;68.85;2.03;neutral;3.39;79.59;49;272;-7.29%;mittel;negativ;stark unterbewertet;negativ;-6.79%;STOXX600;7.8;6.70%;3%;1%;57%;139%;1;negativ;17064;141;1%;2.38;3%;231.02%;2.01%;79
GB00BVYVFW23;AUTO;AUTO TRADER GROUP PLC.;Internet;Technologie;Grossbritannien ;02.08.2024;GBp;791.6;1.39;neutral;9.2;857.91;-41;191;9.73%;mittel;positiv;fairer Preis;positiv;1.16%;STOXX600;18.7;15.70%;47%;61%;84%;9%;4;negativ;571;257;45%;1.66;5%;86.76%;48.20%;80
SE0012454072;AZA;AVANZA BANK;Wertpapierdienstleistungen;Finanzdienstleistungen;Schweden ;02.08.2024;SEK;230.9;4.51;neutral;3.47;266.5;67;250;-1.11%;mittel;positiv;leicht unterbewertet;negativ;-8.19%;STOXX600;15.9;9.50%;34%;49%;2%;16%;2;neutral;4715;1982;42%;NULL;0%;1.67%;43.97%;1175
GB00BPQY8M80;AV.;AVIVA;Lebensversicherungen;Versicherungen;Grossbritannien ;02.08.2024;GBp;477.8;7.83;neutral;16.67;516.01;-3;131;9.91%;mittel;negativ;leicht unterbewertet;positiv;4.45%;STOXX600;8.4;9.90%;12%;7%;3%;74%;3;neutral;34097;1051;3%;0.28;2%;10.78%;3.63%;895
CH0023405456;AVOL;AVOLTA;Spezialisierter Detailhandel;Einzel- & Grosshandel;Schweiz ;02.08.2024;CHF;31.88;2.77;eher negative;5.82;30.29;107;207;-3.63%;hoch;negativ;stark unterbewertet;negativ;-4.93%;STOXX600;9.8;8.80%;4%;7%;14%;47%;1;neutral;12790;87;1%;0.6;56%;77.44%;13.50%;0
FR0000120628;CS;AXA;Universalversicherungen;Versicherungen;Frankreich;02.08.2024;EUR;32.26;6.92;neutral;77.17;34.51;4;174;9.39%;mittel;positiv;leicht unterbewertet;negativ;6.15%;STOXX600;7.8;8.10%;16%;12%;7%;67%;3;neutral;86647;7004;8%;0.27;10%;13.99%;7.43%;3948
SE0006993770;AXFO;AXFOOD;Nahrungsmittel;Einzel- & Grosshandel;Schweden ;02.08.2024;SEK;264.4;3.39;eher positive;5.36;298.31;-58;227;-3.15%;niedrig;negativ;leicht unterbewertet;negativ;-2.23%;STOXX600;19;14.40%;34%;4%;23%;12%;1;neutral;81111;2357;3%;0.65;25%;270.21%;6.60%;1759
BE0974400328;AZE;AZELIS GROUP NV;Spezialitäten-Chemie;Chemie;Belgien;02.08.2024;EUR;16.94;1.85;neutral;4.62;15.64;58;255;-23.62%;mittel;negativ;leicht unterbewertet;negativ;3.21%;STOXX600;13.8;11.00%;7%;9%;46%;48%;2;positiv;4152;178;4%;1.7;30%;74.52%;6.71%;68
IT0003261697;AZM;AZIMUT HOLDING;Vermögensverwalter;Finanzdienstleistungen;Italien;02.08.2024;EUR;21.33;7.14;neutral;3.49;24.17;-20;187;-8.46%;mittel;negativ;leicht unterbewertet;negativ;-1.96%;STOXX600;6.6;5.50%;29%;47%;15%;46%;1;neutral;1390;435;31%;NULL;6%;13.96%;34.42%;239
LU1072616219;BME;B&M EUROPEAN;Baumärkte & Baufachhandel;Einzel- & Grosshandel;Grossbritannien ;02.08.2024;GBp;454.4;3.47;eher positive;5.87;525.23;37;271;-18.89%;mittel;negativ;stark unterbewertet;negativ;5.92%;STOXX600;10.5;9.20%;50%;11%;20%;13%;2;neutral;5484;367;7%;1.32;57%;151.28%;11.40%;348
CH1176493729;BANB;BACHEM HOLDING;Pharmaka;Gesundheitswesen;Schweiz ;02.08.2024;CHF;77.25;1.21;eher negative;6.81;68.5;97;267;18.85%;hoch;positiv;fairer Preis;negativ;-4.71%;STOXX600;29.6;26.60%;8%;21%;78%;27%;2;positiv;577;112;19%;5.11;0%;34.31%;25.85%;56
GB0002634946;BA.;BAE SYSTEMS;Luftfahrt & Verteidigung;Industrie;Grossbritannien ;02.08.2024;GBp;1282;2.74;eher positive;49.47;1421.1;-66;211;15.44%;niedrig;positiv;leicht unterbewertet;negativ;3.66%;STOXX600;15.2;13.10%;18%;11%;33%;31%;3;negativ;23078;1857;8%;1.08;18%;71.97%;11.44%;857
FO0000000179;BAKKA;BAKKAFROST;Landwirtschaft & Fischerei;Nahrungsmittel & Getränke;Norwegen;02.08.2024;NOK;550.5;3.19;neutral;3.04;507.68;7;253;3.48%;mittel;positiv;leicht unterbewertet;negativ;4.50%;STOXX600;11.2;15.30%;9%;19%;56%;52%;3;neutral;10718;1466;14%;7.89;22%;36.94%;22.79%;907
GB0000961622;BBY;BALFOUR BEATTY;Anlagenbau;Baugewerbe & Werkstoffe;Grossbritannien ;02.08.2024;GBp;404.6;3.2;eher positive;2.72;445.3;-9;195;22.16%;mittel;negativ;stark unterbewertet;positiv;12.14%;STOXX600;9;7.90%;16%;3%;23%;67%;3;neutral;7993;197;2%;1.01;15%;151.81%;3.87%;58
CH0012410517;BALN;BALOISE HOLDING;Universalversicherungen;Versicherungen;Schweiz ;02.08.2024;CHF;154.9;5.41;neutral;8.17;165.45;-38;119;17.53%;mittel;positiv;leicht unterbewertet;positiv;0.97%;STOXX600;12.5;17.30%;7%;4%;4%;54%;4;neutral;9580;240;3%;0.1;3%;12.37%;3.34%;335
IT0005508921;BMPS;BANCA MONTE DEI PASCHI;Banken;Geldinstitute;Italien;02.08.2024;EUR;4.48;11.49;eher negative;6.41;3.9;-8;331;47.05%;mittel;positiv;tark überbewertet;negativ;-0.52%;STOXX600;6.4;-3.10%;21%;45%;8%;260%;2;negativ;6287;2052;33%;0.3;21%;5.12%;36.27%;0
IT0000784196;BPSO;BANCA PPO.DI SONDRIO;Banken;Geldinstitute;Italien;02.08.2024;EUR;6.44;7.96;neutral;3.28;7.53;-37;259;9.90%;mittel;negativ;stark unterbewertet;negativ;-2.04%;STOXX600;8.3;0.00%;12%;31%;7%;145%;1;negativ;2428;461;19%;0.19;19%;4.21%;21.98%;127
ES0113211835;BBVA;BANCO BILBAO VIZCAYA;Banken;Geldinstitute;Spanien;02.08.2024;EUR;8.87;8.14;neutral;57.37;10.22;16;185;7.88%;mittel;negativ;leicht unterbewertet;negativ;-3.04%;STOXX600;5.6;4.70%;14%;53%;7%;115%;1;negativ;31560;7674;24%;0.49;17%;4.07%;NULL;NULL
IT0005218380;BAMI;BANCO BPM;Banken;Geldinstitute;Italien;02.08.2024;EUR;5.85;11.28;neutral;9.98;6.72;-39;287;22.36%;mittel;negativ;leicht unterbewertet;negativ;-3.18%;STOXX600;6.6;3.50%;9%;25%;7%;195%;1;negativ;8869;1264;14%;0.22;20%;4.39%;17.39%;350
